
A ,6,1/1/21,3R Sand and Sequoias Race,4.1w/kg,298w,,,,,,,73.0kg,159bpm,,43km,,167.51,8.33 , 
A ,8,12/28/20,Team Italy PISSEI Race,4.1w/kg,296w,321w,4.4w/kg,5.1w/kg,6.4w/kg,6.7w/kg,7.1w/kg,73.0kg,169bpm,184bpm,32km,,253.69,, 
A ,39,12/15/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.5w/kg,331w,340w,4.7w/kg,5.1w/kg,6.4w/kg,7.5w/kg,7.9w/kg,73.0kg,169bpm,182bpm,36km,,,, 
B ,4,12/13/20,ZA Tri: TT Race,4.6w/kg,339w,348w,4.9w/kg,5.0w/kg,5.1w/kg,5.4w/kg,6.3w/kg,73.0kg,171bpm,179bpm,,,215.80,, 
A ,9,12/8/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.5w/kg,329w,365w,4.7w/kg,5.3w/kg,7.3w/kg,7.9w/kg,8.1w/kg,73.0kg,171bpm,185bpm,28km,,160.99,14.34 , 
A ,47,12/1/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.6w/kg,342w,347w,4.7w/kg,4.9w/kg,5.8w/kg,6.0w/kg,6.4w/kg,74.0kg,170bpm,179bpm,28km,,309.59,, 
A ,24,11/28/20,Matando o CorpoÂ® Sergio Samitier Edition by PETA-Z,3.5w/kg,260w,286w,4.7w/kg,5.2w/kg,6.0w/kg,7.8w/kg,9.3w/kg,74.0kg,159bpm,182bpm,126km,,294.55,, 
A ,,11/25/20,British Cycling Crit City Series,4.4w/kg,326w,345w,4.5w/kg,4.9w/kg,6.2w/kg,7.4w/kg,9.1w/kg,74.0kg,168bpm,177bpm,24km,,,, 
A ,16,11/24/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.1w/kg,304w,334w,4.4w/kg,5.6w/kg,7.4w/kg,9.8w/kg,12.3w/kg,74.0kg,166bpm,186bpm,47km,,202.11,9.54 , 
A ,4,11/21/20,ZA Road 2020 - Segment Ride #2,3.9w/kg,285w,324w,4.8w/kg,5.0w/kg,6.9w/kg,8.4w/kg,10.1w/kg,74.0kg,158bpm,179bpm,,,,, 
A ,23,11/19/20, Flanders The BZR Ronde ,4.2w/kg,312w,330w,4.3w/kg,4.8w/kg,7.0w/kg,8.8w/kg,10.9w/kg,74.0kg,172bpm,186bpm,43km,,209.18,12.92 , 
A ,28,11/17/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.3w/kg,320w,,,,,,,74.0kg,167bpm,,31km,,,, 
F ,85,11/12/20,WTRL Team Time Trial - Zone 6,4.4w/kg,323w,339w,4.5w/kg,4.9w/kg,6.1w/kg,6.1w/kg,6.3w/kg,74.0kg,168bpm,179bpm,37km,,,, 
A ,32,11/10/20,Zwift Racing League | WTRL - EMEA W2 (MEN) -  Division 2,4.2w/kg,310w,360w,4.5w/kg,5.7w/kg,8.4w/kg,11.1w/kg,12.8w/kg,74.0kg,168bpm,184bpm,34km,,283.12,, 
E ,,11/6/20,Team CLS Racing - Hills n Thrills S5,4.2w/kg,307w,355w,4.4w/kg,5.3w/kg,6.6w/kg,8.0w/kg,8.3w/kg,74.0kg,165bpm,181bpm,34km,,202.34,18.04 , 
F ,52,11/5/20,WTRL Team Time Trial - Zone 6,4.2w/kg,309w,330w,4.3w/kg,5.1w/kg,5.5w/kg,7.4w/kg,9.9w/kg,74.0kg,165bpm,179bpm,32km,,,, 
A ,38,11/3/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.4w/kg,325w,332w,4.5w/kg,4.9w/kg,6.4w/kg,6.5w/kg,7.9w/kg,74.0kg,165bpm,185bpm,29km,,,, 
A ,42,10/27/20,Zwift Racing League | WTRL - Mens EMEA W2 DIVISION 2,4.1w/kg,302w,348w,4.3w/kg,5.0w/kg,8.4w/kg,8.7w/kg,9.5w/kg,74.0kg,168bpm,186bpm,32km,,353.46,, 
A ,8,10/25/20,100km ZESP Fondo,3.7w/kg,276w,310w,4.1w/kg,5.6w/kg,6.6w/kg,7.8w/kg,10.6w/kg,74.0kg,155bpm,178bpm,100km,,232.68,13.49 , 
HR ,0,10/23/20,3R Lutscher CCW Climbing Race - 1 Lap (22.1km/13.9mi 827m),4.2w/kg,311w,347w,4.8w/kg,5.3w/kg,5.6w/kg,5.7w/kg,7.5w/kg,74.0kg,,,23km,,,, 
